Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
HTTP Request,50,3194,2832,5174,6702,18347,512,18347,"0,00%","1,3","1,3"
TOTAL,50,3194,2832,5174,6702,18347,512,18347,"0,00%","1,3","1,3"
