Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
HTTP Request,100,213,185,343,392,558,82,597,"0,00%","4,7","2,4"
TOTAL,100,213,185,343,392,558,82,597,"0,00%","4,7","2,4"
