Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
HTTP Request,100,350,295,578,827,1045,89,1087,"0,00%","2,8","1,4"
TOTAL,100,350,295,578,827,1045,89,1087,"0,00%","2,8","1,4"
