Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
HTTP Request,200,324,285,516,625,863,67,1264,"0,00%",",8",",4"
TOTAL,200,324,285,516,625,863,67,1264,"0,00%",",8",",4"
