Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
HTTP Request,50,2530,1394,3058,10157,16949,208,16949,"0,00%","1,8","1,7"
TOTAL,50,2530,1394,3058,10157,16949,208,16949,"0,00%","1,8","1,7"
