Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
HTTP Request,6,5091,4328,4919,8592,8592,4121,8592,"0,00%",",1",",1"
TOTAL,6,5091,4328,4919,8592,8592,4121,8592,"0,00%",",1",",1"
