Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
HTTP Request,40,198,167,224,291,1027,85,1027,"0,00%",",4",",2"
TOTAL,40,198,167,224,291,1027,85,1027,"0,00%",",4",",2"
