Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
HTTP Request,10,7545,7137,8676,8676,10265,6331,10265,"0,00%",",1",",1"
TOTAL,10,7545,7137,8676,8676,10265,6331,10265,"0,00%",",1",",1"
