Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
HTTP Request,40,163,148,206,220,584,85,584,"0,00%",",5",",2"
TOTAL,40,163,148,206,220,584,85,584,"0,00%",",5",",2"
