Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
HTTP Request,100,390,343,636,654,755,162,977,"0,00%","2,6","1,3"
TOTAL,100,390,343,636,654,755,162,977,"0,00%","2,6","1,3"
