Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
HTTP Request,25,1168,902,2121,2258,4416,411,4416,"0,00%",",9",",8"
TOTAL,25,1168,902,2121,2258,4416,411,4416,"0,00%",",9",",8"
