Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
HTTP Request,25,416,241,598,808,3776,90,3776,"0,00%","2,4","2,3"
TOTAL,25,416,241,598,808,3776,90,3776,"0,00%","2,4","2,3"
