Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
HTTP Request,100,257,248,374,403,447,133,458,"0,00%","3,9","2,0"
TOTAL,100,257,248,374,403,447,133,458,"0,00%","3,9","2,0"
