Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
HTTP Request,10,5188,4894,5424,5424,7422,4517,7422,"0,00%",",2",",2"
TOTAL,10,5188,4894,5424,5424,7422,4517,7422,"0,00%",",2",",2"
